fig,design_range_nm,spec_energy_whkg,source,metric,value,ref,ref_value,ref_halfwidth,err,rel_err,tol,within_tol
5,550.0,700.0,truth,fuel_mileage_lb_per_nmi,0.5172751551503211,paper,0.550357,0.041838,-0.03308184484967891,-0.06010979209799986,0.061838000000000004,True
5,550.0,750.0,truth,fuel_mileage_lb_per_nmi,0.3037407757426485,paper,0.350133,0.044826,-0.04639222425735151,-0.13249886259607493,0.064826,True
5,550.0,800.0,truth,fuel_mileage_lb_per_nmi,0.05506172096334808,paper,0.14991,0.041838,-0.09484827903665191,-0.6327014811330259,0.061838000000000004,False
5,575.0,250.0,truth,fuel_mileage_lb_per_nmi,1.5768245377514327,paper,1.551472,0.044826,0.025352537751432758,0.016340957330478897,0.07585544,True
5,575.0,300.0,truth,fuel_mileage_lb_per_nmi,1.558089699893085,paper,1.551472,0.044826,0.006617699893085138,0.004265433016570804,0.07585544,True
5,575.0,350.0,truth,fuel_mileage_lb_per_nmi,1.5310481195200352,paper,1.551472,0.044826,-0.020423880479964795,-0.013164195344785337,0.07585544,True
5,575.0,400.0,truth,fuel_mileage_lb_per_nmi,1.5130220588924626,paper,1.551472,0.044826,-0.03844994110753741,-0.02478287787825846,0.07585544,True
5,575.0,450.0,truth,fuel_mileage_lb_per_nmi,1.4014178974723148,paper,1.449867,0.044826,-0.048449102527685195,-0.0334162392327608,0.07382334,True
5,575.0,500.0,truth,fuel_mileage_lb_per_nmi,1.2733929707613711,paper,1.249643,0.041838,0.023749970761371086,0.019005404552637103,0.06683086,True
5,575.0,550.0,truth,fuel_mileage_lb_per_nmi,1.1335232953336585,paper,1.151026,0.044826,-0.01750270466634163,-0.015206176634013156,0.06784652,True
5,575.0,600.0,truth,fuel_mileage_lb_per_nmi,0.9834506353140328,paper,1.04942,0.044826,-0.06596936468596726,-0.06286269052044678,0.0658144,False
5,575.0,650.0,truth,fuel_mileage_lb_per_nmi,0.8238409155190137,paper,0.852186,0.044826,-0.02834508448098627,-0.03326161715985274,0.064826,True
5,575.0,700.0,truth,fuel_mileage_lb_per_nmi,0.649157119407367,paper,0.648974,0.044826,0.00018311940736692733,0.0002821675558141425,0.064826,True
5,575.0,750.0,truth,fuel_mileage_lb_per_nmi,0.4564140759163726,paper,0.451739,0.044826,0.0046750759163726174,0.010349064208254363,0.064826,True
5,575.0,800.0,truth,fuel_mileage_lb_per_nmi,0.24034429696819115,paper,0.350133,0.044826,-0.10978870303180888,-0.3135628547774956,0.064826,False
5,600.0,250.0,truth,fuel_mileage_lb_per_nmi,1.5927297345184606,paper,1.551472,0.044826,0.0412577345184606,0.026592638809118437,0.07585544,True
5,600.0,300.0,truth,fuel_mileage_lb_per_nmi,1.5741600488267358,paper,1.551472,0.044826,0.022688048826735807,0.014623563188208236,0.07585544,True
5,600.0,350.0,truth,fuel_mileage_lb_per_nmi,1.548481042085489,paper,1.551472,0.044826,-0.0029909579145108722,-0.0019278194608158396,0.07585544,True
5,600.0,400.0,truth,fuel_mileage_lb_per_nmi,1.5300450465451088,paper,1.551472,0.044826,-0.021426953454891207,-0.013810725204767607,0.07585544,True
5,600.0,450.0,truth,fuel_mileage_lb_per_nmi,1.500425625987537,paper,1.449867,0.044826,0.05055862598753702,0.03487121645470724,0.07382334,True
5,600.0,500.0,truth,fuel_mileage_lb_per_nmi,1.3424125402009184,paper,1.348261,0.044826,-0.005848459799081551,-0.004337780147227838,0.07179121999999999,True
5,600.0,550.0,truth,fuel_mileage_lb_per_nmi,1.2144763608915838,paper,1.249643,0.041838,-0.03516663910841622,-0.028141348455851967,0.06683086,True
5,600.0,600.0,truth,fuel_mileage_lb_per_nmi,1.0744722750919706,paper,1.151026,0.044826,-0.07655372490802947,-0.06650911874104448,0.06784652,False
5,600.0,650.0,truth,fuel_mileage_lb_per_nmi,0.9268268471734209,paper,0.947814,0.044826,-0.020987152826579147,-0.022142691315573674,0.064826,True
5,600.0,700.0,truth,fuel_mileage_lb_per_nmi,0.7670398765407976,paper,0.852186,0.044826,-0.08514612345920236,-0.09991495220433375,0.064826,False
5,600.0,750.0,truth,fuel_mileage_lb_per_nmi,0.5916398380207438,paper,0.648974,0.044826,-0.057334161979256226,-0.08834585357696337,0.064826,True
